"filename", "language", "XML", "YAML", "C#", "MS SQL", "comment", "blank", "total"
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\EducationProgramResult.cs", "C#", 0, 0, 33, 0, 0, 8, 41
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\Factories\IEducationProgramFactory.cs", "C#", 0, 0, 6, 0, 0, 3, 9
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\Factories\SpecificFactories\BachelorsProgramFactory.cs", "C#", 0, 0, 26, 0, 0, 6, 32
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\Factories\SpecificFactories\BonusTrackProgramFactory.cs", "C#", 0, 0, 38, 0, 0, 11, 49
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\Factories\SpecificFactories\CourseProgramFactory.cs", "C#", 0, 0, 35, 0, 0, 10, 45
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\Factories\SpecificFactories\MasterProgramFactory.cs", "C#", 0, 0, 27, 0, 0, 6, 33
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\Factories\SpecificFactories\PostgraduateProgramFactory.cs", "C#", 0, 0, 27, 0, 0, 6, 33
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\IEducationProgram.cs", "C#", 0, 0, 11, 0, 0, 6, 17
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\SpecificEducationPrograms\AdditionalEducationPrograms\BonusTrackEducationProgram.cs", "C#", 0, 0, 27, 0, 0, 9, 36
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\SpecificEducationPrograms\AdditionalEducationPrograms\CourseEducationProgram.cs", "C#", 0, 0, 24, 0, 0, 8, 32
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\SpecificEducationPrograms\AdditionalEducationPrograms\IAdditionalEducationProgram.cs", "C#", 0, 0, 5, 0, 0, 1, 6
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\SpecificEducationPrograms\UniversityPrograms\BachelorsEducationProgram.cs", "C#", 0, 0, 18, 0, 0, 7, 25
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\SpecificEducationPrograms\UniversityPrograms\MasterEducationProgram.cs", "C#", 0, 0, 18, 0, 0, 7, 25
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\EducationPrograms\SpecificEducationPrograms\UniversityPrograms\PostgraduateEducationProgram.cs", "C#", 0, 0, 18, 0, 0, 7, 25
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Ensures\Ensure.cs", "C#", 0, 0, 18, 0, 0, 2, 20
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Lab2.csproj", "XML", 9, 0, 0, 0, 0, 4, 13
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Materials\LabWorks\LabWork.cs", "C#", 0, 0, 115, 0, 0, 37, 152
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Materials\LabWorks\LabWorkResult.cs", "C#", 0, 0, 29, 0, 0, 7, 36
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Materials\Lectures\LectureMaterial.cs", "C#", 0, 0, 105, 0, 0, 34, 139
